3 {maxRange=96.72852492102554, maxFlightTime=81.67373304389835, cruiseSpeed=176.15941620287632, maxSpeed=231.2808840955982, loadCapacity=11.143287689708917, maxHeight=3478.741016676184, powerType='Fuel', size=2.4246820050278193, takeoffMethod='Vertical', weatherResistant=false, numberOfBlades=3}
4 {maxRange=86.48826520771286, maxFlightTime=108.3792918163798, cruiseSpeed=188.73458651949267, maxSpeed=430.9459657584478, loadCapacity=28.991563706937168, maxHeight=4685.441086846049, powerType='Hybrid (Fuel + Electric)', size=2.023958135048035, takeoffMethod='Vertical', weatherResistant=false, batteryCapacity=2220.5711793695364}
2 {maxRange=60.503731306002265, maxFlightTime=67.11672417965637, cruiseSpeed=159.2601704892162, maxSpeed=558.7764455185961, loadCapacity=31.84271151732316, maxHeight=3412.665468182311, powerType='Fuel', size=8.865434158784485, takeoffMethod='Horizontal', weatherResistant=true, wingSpan=30.316003102680703}
3 {maxRange=114.9069715700313, maxFlightTime=56.460993130959494, cruiseSpeed=128.0389445344017, maxSpeed=105.28499937362672, loadCapacity=19.770661806537063, maxHeight=4193.82131347847, powerType='Fuel', size=4.810141688326574, takeoffMethod='Vertical', weatherResistant=false, numberOfBlades=7}
3 {maxRange=71.85264485649469, maxFlightTime=73.64881619637376, cruiseSpeed=169.59717518091702, maxSpeed=126.83430783559187, loadCapacity=12.527775655399576, maxHeight=854.7840514688808, powerType='Fuel', size=2.3499557642853506, takeoffMethod='Vertical', weatherResistant=true, numberOfBlades=5}
3 {maxRange=56.91216357037871, maxFlightTime=156.6761915649327, cruiseSpeed=81.8086861626446, maxSpeed=214.27673945660177, loadCapacity=10.817586748418076, maxHeight=2171.397624984268, powerType='Fuel', size=5.334027033433207, takeoffMethod='Vertical', weatherResistant=true, numberOfBlades=5}
1 {maxRange=17.588020449996186, maxFlightTime=60.684488989052376, cruiseSpeed=5.756080832217543, maxSpeed=13.824026952388927, loadCapacity=1.319600484385198, maxHeight=551.2427155277745, powerType='Electric', size=0.6117408882275914, takeoffMethod='Vertical', weatherResistant=false, cameraResolution='4K'}
3 {maxRange=120.55464221422349, maxFlightTime=82.6192138723797, cruiseSpeed=244.76765986673394, maxSpeed=161.41612579534214, loadCapacity=14.77023598014379, maxHeight=4322.617233674404, powerType='Fuel', size=5.8032252616116295, takeoffMethod='Vertical', weatherResistant=true, numberOfBlades=7}
4 {maxRange=134.11420873150792, maxFlightTime=79.55042191995261, cruiseSpeed=158.2473222017163, maxSpeed=212.9634369710669, loadCapacity=17.947105132806932, maxHeight=5068.114388735029, powerType='Hybrid (Fuel + Electric)', size=3.686785700827197, takeoffMethod='Vertical', weatherResistant=true, batteryCapacity=4472.107938565228}
2 {maxRange=105.08238295747324, maxFlightTime=113.44914593096445, cruiseSpeed=224.26895551968576, maxSpeed=353.76059203168256, loadCapacity=58.37941935032473, maxHeight=3413.508905466574, powerType='Fuel', size=6.953676963686339, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=32.70067038059689}
3 {maxRange=171.9183252025079, maxFlightTime=72.71815685791415, cruiseSpeed=135.56915400430336, maxSpeed=237.30964504162924, loadCapacity=28.567845783796788, maxHeight=2318.404007480196, powerType='Fuel', size=3.7787013234105578, takeoffMethod='Vertical', weatherResistant=false, numberOfBlades=6}
1 {maxRange=53.82973818358952, maxFlightTime=27.104001811627118, cruiseSpeed=17.405998533123473, maxSpeed=19.60553494820841, loadCapacity=4.204385069665735, maxHeight=285.1620380641399, powerType='Electric', size=0.6940534658192521, takeoffMethod='Vertical', weatherResistant=true, cameraResolution='4K'}
3 {maxRange=127.85561604027268, maxFlightTime=92.52209281022364, cruiseSpeed=90.6869593279956, maxSpeed=115.54972429711695, loadCapacity=18.477758285376538, maxHeight=2839.1026590437887, powerType='Fuel', size=1.0651231392610723, takeoffMethod='Vertical', weatherResistant=true, numberOfBlades=5}
2 {maxRange=236.30395019241902, maxFlightTime=63.514830742502745, cruiseSpeed=320.52402668799533, maxSpeed=147.96516133892604, loadCapacity=11.937272513244508, maxHeight=4733.967740628768, powerType='Fuel', size=13.61107903852579, takeoffMethod='Horizontal', weatherResistant=true, wingSpan=11.388135565683179}
1 {maxRange=33.76389947703113, maxFlightTime=34.438076998085634, cruiseSpeed=8.292392737819721, maxSpeed=26.53301400547928, loadCapacity=3.2470730174884324, maxHeight=156.80640039913072, powerType='Electric', size=0.5091663013990484, takeoffMethod='Vertical', weatherResistant=true, cameraResolution='4K'}
4 {maxRange=74.84357343208879, maxFlightTime=69.47647225373835, cruiseSpeed=78.7304503351736, maxSpeed=191.13158934511029, loadCapacity=39.040110898330035, maxHeight=4430.751129757438, powerType='Hybrid (Fuel + Electric)', size=1.9218387944188198, takeoffMethod='Vertical', weatherResistant=true, batteryCapacity=3326.1248462221015}
2 {maxRange=175.76873402969625, maxFlightTime=73.18364611969771, cruiseSpeed=313.6423304194741, maxSpeed=189.4363308721499, loadCapacity=53.18733527418765, maxHeight=4572.432941264202, powerType='Fuel', size=17.951966612752564, takeoffMethod='Horizontal', weatherResistant=false, wingSpan=22.512340994317185}
4 {maxRange=128.78788449152893, maxFlightTime=82.5941506248202, cruiseSpeed=287.0275431665499, maxSpeed=95.76208984469918, loadCapacity=43.01070142113899, maxHeight=6840.83438246481, powerType='Hybrid (Fuel + Electric)', size=3.7858802789359656, takeoffMethod='Vertical', weatherResistant=false, batteryCapacity=5482.982935439227}
1 {maxRange=43.54426141337052, maxFlightTime=57.0807149549128, cruiseSpeed=9.022282787327917, maxSpeed=36.124798412776016, loadCapacity=4.062004236080934, maxHeight=155.7755865636002, powerType='Electric', size=0.9472695110094891, takeoffMethod='Vertical', weatherResistant=true, cameraResolution='4K'}
3 {maxRange=166.3827990512436, maxFlightTime=67.64573011337801, cruiseSpeed=85.78008876327195, maxSpeed=234.0643629635093, loadCapacity=7.422931554967208, maxHeight=2860.5019938860087, powerType='Fuel', size=3.9181818463671387, takeoffMethod='Vertical', weatherResistant=true, numberOfBlades=2}
